ASD	PREDICTED_INTRONIC	1.2432545564339	0.916516092338111	1.68647545309379	0.160807412591886	103	69	6336	5277	5000	FALSE	FALSE
ASD	PREDICTED_LOF	1.92598839962121	1.07143315215647	3.46212109267809	0.0257485446117522	37	16	6336	5277	100	FALSE	FALSE
ASD	PREDICTED_PROMOTER	0.832859848484849	0.052094414212212	13.3153532429125	0.896959650880307	1	1	6336	5277	100	FALSE	FALSE
ASD	PREDICTED_UTR	2.66515151515152	0.976362045676169	7.27499868534453	0.0465026177291736	16	5	6336	5277	100	FALSE	FALSE
NDD	PREDICTED_INTRONIC	1.36941378933566	1.15262655878623	1.62697459305244	0.000330524034108493	342	208	6336	5277	5000	FALSE	FALSE
NDD	PREDICTED_LOF	1.30534764714452	1.0207045354484	1.66936897087186	0.0332093977435695	163	104	6336	5277	100	FALSE	FALSE
NDD	PREDICTED_PROMOTER	1.22152777777778	0.633698557017123	2.3546370673563	0.549443413755096	22	15	6336	5277	100	FALSE	FALSE
NDD	PREDICTED_UTR	1.28498376623377	0.839817748514712	1.96612096184508	0.24664790817357	54	35	6336	5277	100	FALSE	FALSE
pLI-constrained	PREDICTED_INTRONIC	1.41268462038643	1.3244500152486	1.50679739793861	0	2490	1468	6336	5277	5000	FALSE	FALSE
pLI-constrained	PREDICTED_LOF	1.53036006576279	1.37575453698238	1.7023399653971	3.10862446895044e-15	961	523	6336	5277	100	FALSE	FALSE
pLI-constrained	PREDICTED_PROMOTER	1.21881929046563	0.96908299594595	1.53291355748234	0.0902133817419513	180	123	6336	5277	100	FALSE	FALSE
pLI-constrained	PREDICTED_UTR	1.60047261206535	1.35831090405626	1.88580727307862	1.42370615296983e-08	417	217	6336	5277	100	FALSE	FALSE
SCHEMA	PREDICTED_INTRONIC	1.1104797979798	0.602701053204642	2.04606475327088	0.736692581760029	24	18	6336	5277	5000	FALSE	FALSE
SCHEMA	PREDICTED_LOF	1.52690972222222	0.564692757901625	4.12871117469317	0.400802373396368	11	6	6336	5277	100	FALSE	FALSE
SCHEMA	PREDICTED_PROMOTER	3.33143939393939	0.372357118065282	29.8060326955949	0.253249571986517	4	1	6336	5277	100	TRUE	FALSE
SCHEMA	PREDICTED_UTR	6.66287878787879	0.83334788501095	53.2718142572376	0.0386044303360602	8	1	6336	5277	100	FALSE	FALSE
